event_time_ms,receive_time_ms,latency_ms,transaction_time_ms,update_id,symbol,bid_price,bid_qty,ask_price,ask_qty
1787582710313,1787582710317,4,1787582710313,11375443299927,BTCUSDT,79683.90,3.155,79684.00,2.086
1787582710330,1787582710332,2,1787582710329,11375443301565,BTCUSDT,79683.90,3.155,79684.00,2.146
1787582710344,1787582710346,2,1787582710343,11375443303223,BTCUSDT,79683.90,3.155,79684.00,2.022
1787582710361,1787582710363,2,1787582710361,11375443305341,BTCUSDT,79683.90,3.155,79684.00,2.029
1787582710388,1787582710390,2,1787582710388,11375443307716,BTCUSDT,79683.90,3.155,79684.00,2.028
1787582710394,1787582710396,2,1787582710394,11375443308356,BTCUSDT,79683.90,3.034,79684.00,2.028
1787582710399,1787582710400,1,1787582710398,11375443308777,BTCUSDT,79683.90,3.149,79684.00,2.028
1787582710402,1787582710403,1,1787582710402,11375443309018,BTCUSDT,79683.90,3.150,79684.00,2.028
1787582710405,1787582710557,152,1787582710405,11375443309345,BTCUSDT,79683.90,3.150,79684.00,2.025
1787582710407,1787582710557,150,1787582710406,11375443309472,BTCUSDT,79683.90,3.150,79684.00,2.024
1787582710409,1787582710557,148,1787582710409,11375443309757,BTCUSDT,79683.90,3.150,79684.00,1.470
1787582710410,1787582710557,147,1787582710410,11375443309852,BTCUSDT,79683.90,3.150,79684.00,2.016
1787582710410,1787582710558,148,1787582710410,11375443309914,BTCUSDT,79683.90,3.150,79684.00,2.015
1787582710410,1787582710558,148,1787582710410,11375443309939,BTCUSDT,79683.90,3.150,79684.00,2.016
1787582710412,1787582710558,146,1787582710412,11375443310243,BTCUSDT,79683.90,3.150,79684.00,2.012
1787582710412,1787582710558,146,1787582710412,11375443310303,BTCUSDT,79683.90,3.150,79684.00,1.692
1787582710414,1787582710558,144,1787582710414,11375443310526,BTCUSDT,79683.90,3.150,79684.00,1.693
1787582710416,1787582710558,142,1787582710416,11375443310695,BTCUSDT,79683.90,3.150,79684.00,1.673
1787582710440,1787582710558,118,1787582710440,11375443312618,BTCUSDT,79683.90,3.162,79684.00,1.673
1787582710441,1787582710558,117,1787582710441,11375443312710,BTCUSDT,79683.90,3.160,79684.00,1.673
1787582710459,1787582710558,99,1787582710459,11375443314153,BTCUSDT,79683.90,3.160,79684.00,1.993
1787582710460,1787582710558,98,1787582710460,11375443314218,BTCUSDT,79683.90,3.162,79684.00,1.993
1787582710462,1787582710559,97,1787582710462,11375443314435,BTCUSDT,79683.90,3.162,79684.00,1.991
1787582710516,1787582710560,44,1787582710516,11375443320920,BTCUSDT,79683.90,3.162,79684.00,1.983
1787582710517,1787582710560,43,1787582710517,11375443321007,BTCUSDT,79683.90,3.162,79684.00,1.992
1787582710560,1787582710562,2,1787582710560,11375443325319,BTCUSDT,79683.90,3.163,79684.00,1.992
1787582710636,1787582710637,1,1787582710635,11375443332062,BTCUSDT,79683.90,3.163,79684.00,1.942
1787582710641,1787582710642,1,1787582710640,11375443332598,BTCUSDT,79683.90,3.206,79684.00,1.942
1787582710642,1787582710644,2,1787582710642,11375443332798,BTCUSDT,79683.90,3.204,79684.00,1.942
1787582710659,1787582710661,2,1787582710659,11375443334576,BTCUSDT,79683.90,3.204,79684.00,1.963
1787582710661,1787582710663,2,1787582710660,11375443334728,BTCUSDT,79683.90,3.206,79684.00,1.963
1787582710670,1787582710682,12,1787582710670,11375443336503,BTCUSDT,79683.90,3.206,79684.00,1.957
1787582710678,1787582710683,5,1787582710678,11375443337966,BTCUSDT,79683.90,3.199,79684.00,1.957
1787582710685,1787582710687,2,1787582710685,11375443340126,BTCUSDT,79683.90,3.198,79684.00,1.957
1787582710723,1787582710736,13,1787582710723,11375443344625,BTCUSDT,79683.90,3.199,79684.00,1.957
1787582710723,1787582710736,13,1787582710723,11375443344658,BTCUSDT,79683.90,3.200,79684.00,1.957
1787582710724,1787582710736,12,1787582710723,11375443344706,BTCUSDT,79683.90,3.201,79684.00,1.957
1787582710724,1787582710736,12,1787582710724,11375443344777,BTCUSDT,79683.90,3.201,79684.00,1.962
1787582710748,1787582710751,3,1787582710748,11375443347286,BTCUSDT,79683.90,3.201,79684.00,1.932
1787582710749,1787582710754,5,1787582710749,11375443347411,BTCUSDT,79683.90,3.201,79684.00,1.933
1787582710757,1787582710761,4,1787582710757,11375443348172,BTCUSDT,79683.90,3.202,79684.00,1.933
1787582710768,1787582710770,2,1787582710767,11375443349220,BTCUSDT,79683.90,3.198,79684.00,1.933
1787582710781,1787582710782,1,1787582710781,11375443351245,BTCUSDT,79683.90,3.192,79684.00,1.933
1787582710810,1787582710814,4,1787582710810,11375443355944,BTCUSDT,79683.90,3.192,79684.00,1.926
1787582710816,1787582710817,1,1787582710815,11375443356588,BTCUSDT,79683.90,3.192,79684.00,1.934
1787582710838,1787582710839,1,1787582710838,11375443359386,BTCUSDT,79683.90,3.192,79684.00,1.938
1787582710840,1787582710842,2,1787582710840,11375443359655,BTCUSDT,79683.90,3.220,79684.00,1.938
1787582710877,1787582710890,13,1787582710877,11375443364354,BTCUSDT,79683.90,3.220,79684.00,1.917
1787582710910,1787582710912,2,1787582710909,11375443368656,BTCUSDT,79683.90,3.220,79684.00,1.855
1787582710911,1787582710912,1,1787582710911,11375443369028,BTCUSDT,79683.90,3.220,79684.00,1.441
1787582710912,1787582710913,1,1787582710912,11375443369262,BTCUSDT,79683.90,3.220,79684.00,1.440
1787582710913,1787582710913,0,1787582710912,11375443369292,BTCUSDT,79683.90,3.220,79684.00,1.441
1787582710915,1787582710917,2,1787582710915,11375443369660,BTCUSDT,79683.90,3.220,79684.00,1.501
1787582710924,1787582710925,1,1787582710924,11375443370986,BTCUSDT,79683.90,3.220,79684.00,0.955
1787582710925,1787582710926,1,1787582710925,11375443371083,BTCUSDT,79683.90,3.297,79684.00,0.955
1787582710926,1787582710927,1,1787582710926,11375443371256,BTCUSDT,79683.90,3.297,79684.00,0.946
1787582710926,1787582710928,2,1787582710926,11375443371269,BTCUSDT,79683.90,3.353,79684.00,0.946
1787582710926,1787582710928,2,1787582710926,11375443371277,BTCUSDT,79683.90,3.353,79684.00,0.941
1787582710927,1787582710928,1,1787582710926,11375443371434,BTCUSDT,79683.90,3.351,79684.00,0.941
1787582710929,1787582710930,1,1787582710929,11375443371923,BTCUSDT,79683.90,3.351,79684.00,0.621
1787582710931,1787582710930,-1,1787582710931,11375443372194,BTCUSDT,79683.90,3.353,79684.00,0.621
1787582710931,1787582710931,0,1787582710931,11375443372197,BTCUSDT,79683.90,3.362,79684.00,0.621
1787582710932,1787582710932,0,1787582710931,11375443372365,BTCUSDT,79683.90,3.353,79684.00,0.621
1787582710949,1787582710949,0,1787582710949,11375443374873,BTCUSDT,79683.90,3.362,79684.00,0.621
1787582710950,1787582710950,0,1787582710950,11375443375038,BTCUSDT,79683.90,3.353,79684.00,0.621
1787582710951,1787582710951,0,1787582710950,11375443375124,BTCUSDT,79683.90,3.297,79684.00,0.621
1787582710978,1787582711089,111,1787582710978,11375443378920,BTCUSDT,79683.90,3.297,79684.00,1.071
1787582710981,1787582711089,108,1787582710981,11375443379794,BTCUSDT,79683.90,3.220,79684.00,1.071
1787582710983,1787582711089,106,1787582710983,11375443380217,BTCUSDT,79683.90,3.220,79684.00,1.642
1787582710984,1787582711089,105,1787582710984,11375443380462,BTCUSDT,79683.90,3.220,79684.00,1.641
1787582710991,1787582711089,98,1787582710991,11375443381350,BTCUSDT,79683.90,3.220,79684.00,1.981
1787582710999,1787582711090,91,1787582710999,11375443382438,BTCUSDT,79683.90,3.222,79684.00,1.981
1787582711000,1787582711091,91,1787582711000,11375443382664,BTCUSDT,79683.90,3.222,79684.00,1.963
1787582711005,1787582711092,87,1787582711005,11375443383280,BTCUSDT,79683.90,3.222,79684.00,1.977
1787582711005,1787582711092,87,1787582711005,11375443383359,BTCUSDT,79683.90,3.222,79684.00,1.939
1787582711008,1787582711092,84,1787582711008,11375443383764,BTCUSDT,79683.90,3.222,79684.00,1.999
1787582711031,1787582711092,61,1787582711031,11375443386196,BTCUSDT,79683.90,3.222,79684.00,2.000
1787582711035,1787582711092,57,1787582711035,11375443386695,BTCUSDT,79683.90,3.222,79684.00,1.550
1787582711035,1787582711092,57,1787582711035,11375443386699,BTCUSDT,79683.90,3.222,79684.00,0.979
1787582711035,1787582711092,57,1787582711035,11375443386705,BTCUSDT,79683.90,3.222,79684.00,0.965
1787582711036,1787582711092,56,1787582711035,11375443386715,BTCUSDT,79683.90,3.271,79684.00,0.965
1787582711036,1787582711092,56,1787582711036,11375443386913,BTCUSDT,79685.90,0.112,79686.00,0.001
1787582711036,1787582711092,56,1787582711036,11375443386917,BTCUSDT,79685.90,0.249,79686.00,0.001
1787582711036,1787582711092,56,1787582711036,11375443386978,BTCUSDT,79685.90,0.722,79686.00,0.001
1787582711036,1787582711092,56,1787582711036,11375443387001,BTCUSDT,79685.90,1.185,79686.00,0.001
1787582711036,1787582711093,57,1787582711036,11375443387003,BTCUSDT,79685.90,1.667,79686.00,0.001
1787582711036,1787582711093,57,1787582711036,11375443387037,BTCUSDT,79685.90,1.781,79686.00,0.001
1787582711036,1787582711093,57,1787582711036,11375443387039,BTCUSDT,79685.90,2.243,79686.00,0.001
1787582711036,1787582711093,57,1787582711036,11375443387055,BTCUSDT,79685.90,2.701,79686.00,0.001
1787582711036,1787582711093,57,1787582711036,11375443387179,BTCUSDT,79687.00,0.153,79687.20,0.001
1787582711036,1787582711093,57,1787582711036,11375443387322,BTCUSDT,79687.00,0.150,79687.20,0.001
1787582711037,1787582711093,56,1787582711036,11375443387470,BTCUSDT,79687.00,0.230,79687.20,0.001
1787582711037,1787582711093,56,1787582711036,11375443387475,BTCUSDT,79687.00,0.310,79687.20,0.001
1787582711037,1787582711093,56,1787582711036,11375443387517,BTCUSDT,79687.00,0.390,79687.20,0.001
1787582711037,1787582711093,56,1787582711036,11375443387519,BTCUSDT,79687.00,0.602,79687.20,0.001
1787582711037,1787582711093,56,1787582711037,11375443387537,BTCUSDT,79687.00,0.682,79687.20,0.001
1787582711037,1787582711093,56,1787582711037,11375443387539,BTCUSDT,79687.00,0.894,79687.20,0.001
1787582711037,1787582711093,56,1787582711037,11375443387583,BTCUSDT,79687.00,0.974,79687.20,0.001
1787582711037,1787582711094,57,1787582711037,11375443387587,BTCUSDT,79687.00,1.054,79687.20,0.001
1787582711037,1787582711094,57,1787582711037,11375443387618,BTCUSDT,79687.00,1.134,79687.20,0.001
1787582711037,1787582711094,57,1787582711037,11375443387708,BTCUSDT,79687.00,1.214,79687.20,0.001
1787582711037,1787582711094,57,1787582711037,11375443387710,BTCUSDT,79687.00,1.426,79687.20,0.001
1787582711037,1787582711094,57,1787582711037,11375443387747,BTCUSDT,79687.00,1.638,79687.20,0.001
1787582711037,1787582711094,57,1787582711037,11375443387797,BTCUSDT,79687.00,1.850,79687.20,0.001
1787582711037,1787582711094,57,1787582711037,11375443387858,BTCUSDT,79687.00,2.062,79687.20,0.001
1787582711037,1787582711094,57,1787582711037,11375443387907,BTCUSDT,79687.00,2.274,79687.20,0.001
1787582711037,1787582711094,57,1787582711037,11375443387921,BTCUSDT,79687.00,2.283,79687.20,0.001
1787582711037,1787582711094,57,1787582711037,11375443388015,BTCUSDT,79687.00,2.363,79687.20,0.001
1787582711037,1787582711094,57,1787582711037,11375443388016,BTCUSDT,79687.00,2.443,79687.20,0.001
1787582711038,1787582711094,56,1787582711037,11375443388049,BTCUSDT,79687.00,2.523,79687.20,0.001
1787582711038,1787582711094,56,1787582711037,11375443388060,BTCUSDT,79687.00,2.769,79687.20,0.001
